id;Город дистрибьютора;Торг_точка_грязная;Торг_точка_грязная_адрес;outlet_clean_id;cluster_id;subcluster_id
1611;Ростов-на-Дону;БОРЗЕНКО В. В. ИП;-;;AlB6-pzfT-C2P2-rFsg;2oW3-KAqI-PyC8-zuSX
1612;Ростов-на-Дону;БОРЗЕНКО В В ИП;Кагальницкое шоссе 11;;AlB6-pzfT-C2P2-rFsg;KXuS-DCHG-CURz-UTHs
1613;Ростов-на-Дону;БОРЗЕНКО В. В. ИП;Кагальницкое шоссе, 11;;AlB6-pzfT-C2P2-rFsg;2oW3-KAqI-PyC8-zuSX
1614;Ростов-на-Дону;БОРЗЕНКО В. В. ИП\бонус;-;;AlB6-pzfT-C2P2-rFsg;Dd5a-MgLA-OcqG-BGaG
1615;Ростов-на-Дону;БРАВО ООО;-;;ohP9-1fYX-eQvt-PV7C;H663-gGl3-GvbY-e5b6
1616;Ростов-на-Дону;БРАВО ООО;350072, г.Краснодар, ул.Ростовское шоссе, 29;;ohP9-1fYX-eQvt-PV7C;H663-gGl3-GvbY-e5b6
1617;Ростов-на-Дону;БРАК МАГАЗИНЫ / ЕСИПЕНКО;-;;qu7A-aaF5-4OB5-b0hO;o4Nq-EgOw-okZo-AQwC
1618;Ростов-на-Дону;БРАК МАГАЗИНЫ / НАУМОВ;-;;7xYH-oFTc-THTX-tBAS;DB9Z-9kFQ-YF1m-wrri
1619;Ростов-на-Дону;БРАК МАГАЗИНЫ / СЫПЧЕНКО;-;;uvpV-6iAg-sFRb-6Aek;yWNg-2QKt-de4B-kTxx
1620;Ростов-на-Дону;БРАК МАГАЗИНЫ / ТАРАБАН;-;;Glkg-KcTT-MYNc-rcvf;4fZp-Evpq-F7Eo-HtfP
1621;Ростов-на-Дону;БРАК МАГАЗИНЫ / ТАРГУНАКОВ;-;;PbEg-3HBz-nbNh-Ypya;mbC5-R29s-Wy6K-QKfh
1622;Ростов-на-Дону;БРАК МАГАЗИНЫ / ШУТЮК;-;;wYI0-VXmD-EQq4-rF8d;7MeH-3Ore-7iWV-osKq
1623;Ростов-на-Дону;БРЫКИНА Н.В. ИП;-;;8Gcz-xw6V-4RCV-iIYe;iGYc-xvoi-u35A-UdUG
1624;Ростов-на-Дону;БРЮХНО В.А. ИП;-;;nE1q-SE82-F5YI-N3uP;09wI-0T61-Pof4-VP24
1625;Ростов-на-Дону;БУБЛИКОВ В Н ИП;г Аксай пос Реконструктор ул Транспортная 12;;D2E9-5hfv-5gdG-vISK;gRsC-m7Uz-ShGc-G79f
1626;Ростов-на-Дону;БУБЛИКОВ В.Н. ИП;г.Аксай пос.Реконструктор ул. Транспортная 12;;D2E9-5hfv-5gdG-vISK;gRsC-m7Uz-ShGc-G79f
1627;Ростов-на-Дону;БУБЛИКОВ В.Н. ИП;г.Аксай, пос.Реконструктор, ул. Транспортная 12;;D2E9-5hfv-5gdG-vISK;gRsC-m7Uz-ShGc-G79f
1628;Ростов-на-Дону;БУГАЕНКО Т В;с Пешково ул К Маркса 35А;;c4la-flQ5-PZKG-bKMr;G0Yg-duYA-AG4Q-ynV4
1629;Ростов-на-Дону;БУГАЕНКО Т.В. \бонус;-;;5KZg-uMkA-8r8a-ktPm;685i-GnCq-9y77-lA4z
1630;Ростов-на-Дону;БУЛАНОВ О.Г. ИП;-;;1RIR-bRHK-Tm5e-ohIB;0GGx-FX0Y-Q5s7-gDg2
1631;Ростов-на-Дону;БУЛГАКОВ А.Н. ИП\Алина;г.Таганрог 6-й линейный проезд 179;;zKU8-nG50-k8G0-B441;lSAT-76eV-1mxk-x6g5
1632;Ростов-на-Дону;БУЛГАКОВ А.Н.ИП\Бакинская;г.Таганрог ул.Бакинская 8;;zKU8-nG50-k8G0-B441;On7N-uDTz-39gl-Ct7B
1633;Ростов-на-Дону;БУЛГАКОВ А.Н. ИП\Алина;-;;zKU8-nG50-k8G0-B441;lSAT-76eV-1mxk-x6g5
1634;Ростов-на-Дону;БУРАНОВ В.Е. ИП;-;;6WEr-purS-tpZo-Doad;yFdH-9WpK-Yvgu-YLvR
1635;Ростов-на-Дону;БУРЦЕВ;-;;Xw2v-dq9T-Rd5e-BAn2;P6QR-05dc-5HvO-b6u5
1636;Ростов-на-Дону;БУРЯК А.И. ИП\Волкова;г.Ростов-на-Дону ул.Волкова 3/4;;YKiY-2Tqx-7F7q-VWel;Gv2H-Irby-SDGk-ElY3
1637;Ростов-на-Дону;БУРЯК А.И. ИП\Беляева;-;;YKiY-2Tqx-7F7q-VWel;89AX-W07L-3tqv-ruIK
1638;Ростов-на-Дону;БУТТАНОВ ИП;-;;tHiI-brgW-z3Hc-gXbG;N8vX-9ypB-FKe7-RQfx
1639;Ростов-на-Дону;БЫКАДОРОВА О. И. ИП;-;;xQw8-0QmP-v276-3Qzg;cPVo-XzQa-zhsg-V9xh
1640;Ростов-на-Дону;БЫКАДОРОВА О. И. ИП бонус;-;;xQw8-0QmP-v276-3Qzg;Zu2c-v8ft-9QD7-CCA9
1641;Ростов-на-Дону;ВАГРЕСТ ООО;г Ростов/Дон пл Привокзальная 6;;fMrS-Caz7-a1qG-6GiY;uyao-8YuO-nE00-o6y8
1642;Ростов-на-Дону;ВАГРЕСТ ООО;г.Ростов/Дон пл.Привокзальная,6;;fMrS-Caz7-a1qG-6GiY;uyao-8YuO-nE00-o6y8
1643;Ростов-на-Дону;ВАГРЕСТ ООО;-;;fMrS-Caz7-a1qG-6GiY;uyao-8YuO-nE00-o6y8
1644;Ростов-на-Дону;ВАЗАРИ ООО;-;;Frcm-H9E9-H4FI-YanK;tvpY-vKhq-zbvq-knUK
1645;Ростов-на-Дону;ВАКУЛЕНКО АЛЕКСЕЙ водитель;б/а;;GCKu-rRla-PAcq-Xbpn;AgBD-NsnY-CB2f-hdHT
1646;Ростов-на-Дону;ВАЛЕНТИНА ООО \Цыбанобалка\;-;;fw3C-FmDl-XgR9-Gre5;kl2G-Apt7-L0VX-R2yp
1647;Ростов-на-Дону;ВАНЯН Д.Р. ИП;-;;8rUk-bIku-DhYN-DWcL;M3HF-kgNQ-caT6-wAHb
1648;Ростов-на-Дону;ВАРТЕВАНЯН А. А. ИП \2\;-;;pAXq-rXnA-OUIm-HG39;GCI1-WiGY-wy5b-IlDX
1649;Ростов-на-Дону;ВАРТЕВАНЯН В Е ИП \3 новый\;г Краснодар ул Просторная 11;;df3Q-7MlI-rLVM-GPIk;ng1n-GEum-SLZN-9C5w
1650;Ростов-на-Дону;ВАРТЕВАНЯН В. Е. ИП \3 новый\;-;;df3Q-7MlI-rLVM-GPIk;ew41-nyFA-s8yg-huWP
1651;Ростов-на-Дону;ВАРТЕВАНЯН В. Е. ИП \2 новый\;-;;df3Q-7MlI-rLVM-GPIk;ew41-nyFA-s8yg-huWP
1652;Ростов-на-Дону;ВАРТЕВАНЯН В. Е. ИП \2 новый\;г. Краснодар, ул.Просторная 11;;df3Q-7MlI-rLVM-GPIk;ew41-nyFA-s8yg-huWP
1653;Ростов-на-Дону;ВАРТЕВАНЯН/Бонус;-;;wN4w-mwVq-0H3l-XVUK;VB2s-VM7Y-0gPg-oagh
1654;Ростов-на-Дону;ВАРЮХА И. В. ИП \Зыгина\;РО пос. Мартыновка ул. Зыгина 10;;UqUI-W0IG-szvq-F1PF;f9vY-xxER-fYXm-ICqe
1655;Ростов-на-Дону;ВАРЮХА И. В. ИП \Зыгина\;РО, пос. Мартыновка, ул. Зыгина, 10;;UqUI-W0IG-szvq-F1PF;f9vY-xxER-fYXm-ICqe
1656;Ростов-на-Дону;ВАРЮХА И В ИП \Ковалева\;РО пос Мартыновка ул Ковалева 106;;UqUI-W0IG-szvq-F1PF;b7q4-0oSr-vP08-7Him
1657;Ростов-на-Дону;ВАРЮХА И. В. ИП \Ковалева\;РО пос.Мартыновка ул. Ковалева 106;;UqUI-W0IG-szvq-F1PF;b7q4-0oSr-vP08-7Him
